acres92,stratum
51836,acres82Q1
55310,acres82Q1
18644,acres82Q1
44470,acres82Q1
18254,acres82Q1
80905,acres82Q2
45450,acres82Q1
46014,acres82Q1
80396,acres82Q1
34746,acres82Q1
11559,acres82Q1
12733,acres82Q1
95876,acres82Q2
15974,acres82Q1
12836,acres82Q1
37923,acres82Q1
138803,acres82Q2
108967,acres82Q2
24086,acres82Q1
15521,acres82Q1
49043,acres82Q1
169989,acres82Q2
38313,acres82Q1
19314,acres82Q1
119873,acres82Q2
54356,acres82Q1
71097,acres82Q2
142824,acres82Q2
174020,acres82Q2
114487,acres82Q2
88811,acres82Q2
9910,acres82Q1
32800,acres82Q1
40783,acres82Q1
98824,acres82Q2
31161,acres82Q1
21973,acres82Q1
32865,acres82Q1
88829,acres82Q2
55779,acres82Q1
53895,acres82Q1
47000,acres82Q1
111801,acres82Q2
54445,acres82Q1
53291,acres82Q1
48755,acres82Q1
24127,acres82Q1
38691,acres82Q1
115516,acres82Q2
93078,acres82Q2
31838,acres82Q1
200061,acres82Q2
926607,acres82Q4
91998,acres82Q2
214452,acres82Q2
355786,acres82Q3
328970,acres82Q2
239800,acres82Q2
321728,acres82Q2
238609,acres82Q2
268506,acres82Q2
427215,acres82Q3
299502,acres82Q2
330080,acres82Q2
236668,acres82Q2
333115,acres82Q2
341923,acres82Q2
315448,acres82Q2
345567,acres82Q2
359755,acres82Q2
347353,acres82Q2
338801,acres82Q2
308497,acres82Q2
336254,acres82Q2
274905,acres82Q2
236409,acres82Q2
314812,acres82Q2
456954,acres82Q3
368114,acres82Q3
415104,acres82Q3
312173,acres82Q2
275319,acres82Q2
261494,acres82Q2
336131,acres82Q2
192467,acres82Q2
202249,acres82Q2
343870,acres82Q2
224811,acres82Q2
401625,acres82Q3
287586,acres82Q2
343367,acres82Q2
302352,acres82Q2
366927,acres82Q2
317205,acres82Q2
328885,acres82Q2
332377,acres82Q2
329151,acres82Q2
332358,acres82Q2
399155,acres82Q3
225835,acres82Q2
260781,acres82Q2
280797,acres82Q2
272831,acres82Q2
321285,acres82Q2
346569,acres82Q2
431185,acres82Q3
227073,acres82Q2
284537,acres82Q2
321950,acres82Q2
322401,acres82Q2
615034,acres82Q3
266083,acres82Q2
349252,acres82Q2
191291,acres82Q2
219370,acres82Q2
347599,acres82Q2
305685,acres82Q2
314887,acres82Q2
268520,acres82Q2
312858,acres82Q2
237862,acres82Q2
263047,acres82Q2
392835,acres82Q2
223638,acres82Q2
240100,acres82Q2
219832,acres82Q2
362109,acres82Q2
260780,acres82Q2
318778,acres82Q2
338730,acres82Q2
518247,acres82Q3
359442,acres82Q2
229818,acres82Q2
542855,acres82Q3
340982,acres82Q2
293266,acres82Q2
364172,acres82Q2
233217,acres82Q2
353570,acres82Q2
495769,acres82Q3
331211,acres82Q2
401858,acres82Q3
278922,acres82Q2
236265,acres82Q2
241422,acres82Q2
195021,acres82Q2
302487,acres82Q2
309508,acres82Q2
282723,acres82Q2
408462,acres82Q3
231977,acres82Q2
357684,acres82Q3
442247,acres82Q3
224632,acres82Q2
353683,acres82Q2
232879,acres82Q2
221209,acres82Q2
325338,acres82Q2
269435,acres82Q2
111510,acres82Q2
1371605,acres82Q3
266293,acres82Q2
80333,acres82Q1
150021,acres82Q2
453647,acres82Q3
72664,acres82Q1
159358,acres82Q2
129490,acres82Q2
391050,acres82Q2
587693,acres82Q3
666342,acres82Q3
286711,acres82Q2
103246,acres82Q2
140701,acres82Q2
353528,acres82Q2
230086,acres82Q2
380928,acres82Q3
197176,acres82Q2
227114,acres82Q2
744295,acres82Q3
311296,acres82Q2
207552,acres82Q2
131281,acres82Q2
347293,acres82Q2
193908,acres82Q2
211039,acres82Q2
132429,acres82Q2
224369,acres82Q2
208161,acres82Q2
477839,acres82Q3
271143,acres82Q2
752032,acres82Q3
148776,acres82Q2
435069,acres82Q3
4428,acres82Q1
134788,acres82Q2
489993,acres82Q3
78813,acres82Q2
556131,acres82Q3
464834,acres82Q3
69354,acres82Q1
182572,acres82Q2
135163,acres82Q2
144435,acres82Q2
482169,acres82Q3
99675,acres82Q2
238906,acres82Q2
209437,acres82Q2
571807,acres82Q3
390149,acres82Q3
259923,acres82Q2
223764,acres82Q2
229120,acres82Q2
263425,acres82Q2
40917,acres82Q1
223561,acres82Q2
176012,acres82Q2
377512,acres82Q3
206271,acres82Q2
259498,acres82Q2
18206,acres82Q1
354480,acres82Q2
116312,acres82Q2
257761,acres82Q2
341274,acres82Q2
300127,acres82Q2
160533,acres82Q2
431415,acres82Q3
171938,acres82Q2
303715,acres82Q2
225506,acres82Q2
201567,acres82Q2
433246,acres82Q3
37976,acres82Q1
203974,acres82Q2
453944,acres82Q3
662629,acres82Q3
186425,acres82Q2
258014,acres82Q2
217191,acres82Q2
180675,acres82Q2
290454,acres82Q2
94681,acres82Q2
203590,acres82Q2
358920,acres82Q2
178222,acres82Q2
385560,acres82Q3
73142,acres82Q1
612112,acres82Q3
169292,acres82Q2
414442,acres82Q3
637551,acres82Q3
369952,acres82Q2
344649,acres82Q2
249240,acres82Q2
709106,acres82Q3
310518,acres82Q2
402310,acres82Q3
299709,acres82Q2
253916,acres82Q2
203749,acres82Q2
282222,acres82Q2
98838,acres82Q2
164158,acres82Q2
312128,acres82Q2
187039,acres82Q2
371936,acres82Q3
311266,acres82Q2
184599,acres82Q2
392639,acres82Q3
261482,acres82Q2
167602,acres82Q2
251277,acres82Q2
443475,acres82Q3
67998,acres82Q1
82426,acres82Q1
78081,acres82Q1
270598,acres82Q2
188999,acres82Q2
175847,acres82Q2
264140,acres82Q2
141703,acres82Q2
446750,acres82Q3
207388,acres82Q2
128867,acres82Q2
402212,acres82Q3
169622,acres82Q2
314886,acres82Q2
336450,acres82Q2
119370,acres82Q2
488215,acres82Q3
115517,acres82Q2
317467,acres82Q2
297003,acres82Q2
333238,acres82Q2
234973,acres82Q2
399312,acres82Q3
325227,acres82Q2
89591,acres82Q1
203428,acres82Q2
295844,acres82Q2
197724,acres82Q2
285730,acres82Q2
165091,acres82Q2
270618,acres82Q2
87329,acres82Q1
223429,acres82Q2
22555,acres82Q1
220057,acres82Q2
227711,acres82Q2
105658,acres82Q2
162433,acres82Q2
236073,acres82Q2
59734,acres82Q1
222435,acres82Q2
86236,acres82Q2
202429,acres82Q2
153213,acres82Q2
169265,acres82Q2
193381,acres82Q2
192311,acres82Q2
111500,acres82Q2
29837,acres82Q1
229097,acres82Q2
148662,acres82Q2
194312,acres82Q2
241049,acres82Q2
196537,acres82Q2
207766,acres82Q2
162670,acres82Q2
163248,acres82Q2
161745,acres82Q2
187079,acres82Q2
190798,acres82Q2
148609,acres82Q2
187955,acres82Q2
202896,acres82Q2
301962,acres82Q2
182836,acres82Q2
130826,acres82Q2
124694,acres82Q2
139638,acres82Q2
305634,acres82Q2
251603,acres82Q2
187549,acres82Q2
144305,acres82Q2
267695,acres82Q2
158788,acres82Q2
223328,acres82Q2
38783,acres82Q1
219402,acres82Q2
71596,acres82Q1
188843,acres82Q2
59282,acres82Q1
282764,acres82Q2
139523,acres82Q2
206885,acres82Q2
184118,acres82Q2
32318,acres82Q1
116068,acres82Q2
113129,acres82Q2
181653,acres82Q2
80078,acres82Q1
85366,acres82Q1
142482,acres82Q2
220959,acres82Q2
242777,acres82Q2
204165,acres82Q2
236436,acres82Q2
164025,acres82Q2
233183,acres82Q2
172348,acres82Q2
63332,acres82Q1
217288,acres82Q2
175124,acres82Q2
134960,acres82Q2
121710,acres82Q2
181020,acres82Q2
79235,acres82Q1
257351,acres82Q2
160930,acres82Q2
80069,acres82Q1
80958,acres82Q1
119318,acres82Q2
144722,acres82Q2
197947,acres82Q2
201739,acres82Q2
96219,acres82Q2
189136,acres82Q2
189467,acres82Q2
198680,acres82Q2
285169,acres82Q2
162244,acres82Q2
282862,acres82Q2
378517,acres82Q2
245099,acres82Q2
639327,acres82Q3
580199,acres82Q3
337300,acres82Q2
339138,acres82Q2
765688,acres82Q3
351941,acres82Q3
386881,acres82Q2
271015,acres82Q2
592207,acres82Q3
565274,acres82Q3
380969,acres82Q2
407464,acres82Q3
353371,acres82Q2
486997,acres82Q3
627612,acres82Q3
302849,acres82Q2
526064,acres82Q3
514436,acres82Q3
201798,acres82Q2
222028,acres82Q2
403375,acres82Q3
324063,acres82Q2
547483,acres82Q3
442362,acres82Q3
745371,acres82Q3
671223,acres82Q3
316317,acres82Q2
164081,acres82Q2
671506,acres82Q3
512728,acres82Q3
341608,acres82Q2
517623,acres82Q3
424104,acres82Q3
603755,acres82Q3
532890,acres82Q3
499112,acres82Q3
319686,acres82Q2
366764,acres82Q2
479903,acres82Q3
340035,acres82Q2
271713,acres82Q2
484823,acres82Q3
141386,acres82Q2
517376,acres82Q3
544071,acres82Q3
399835,acres82Q3
346519,acres82Q2
419423,acres82Q3
206530,acres82Q2
482434,acres82Q3
273841,acres82Q2
603177,acres82Q3
485656,acres82Q3
537914,acres82Q3
588061,acres82Q3
572989,acres82Q3
596103,acres82Q3
286989,acres82Q2
479310,acres82Q3
323769,acres82Q2
409839,acres82Q3
427403,acres82Q3
441417,acres82Q3
326716,acres82Q2
668420,acres82Q3
465527,acres82Q3
349293,acres82Q3
547369,acres82Q3
380403,acres82Q3
449151,acres82Q3
582053,acres82Q3
451362,acres82Q3
432326,acres82Q3
641109,acres82Q3
700869,acres82Q3
443290,acres82Q3
432701,acres82Q3
228178,acres82Q2
578283,acres82Q3
427459,acres82Q3
463690,acres82Q3
403276,acres82Q3
484415,acres82Q3
510319,acres82Q3
328094,acres82Q2
227349,acres82Q2
535359,acres82Q3
620144,acres82Q3
537457,acres82Q3
436242,acres82Q3
411785,acres82Q3
450829,acres82Q3
687593,acres82Q3
702549,acres82Q3
484093,acres82Q3
423064,acres82Q3
471658,acres82Q3
521110,acres82Q3
443802,acres82Q3
312717,acres82Q2
265978,acres82Q2
22553,acres82Q1
177858,acres82Q2
156590,acres82Q2
90033,acres82Q1
111913,acres82Q2
248634,acres82Q2
132979,acres82Q2
5419,acres82Q1
80864,acres82Q2
206881,acres82Q2
27836,acres82Q1
108291,acres82Q2
99009,acres82Q2
42602,acres82Q1
266730,acres82Q2
60911,acres82Q1
140810,acres82Q2
128807,acres82Q2
137337,acres82Q2
43447,acres82Q1
78966,acres82Q1
60812,acres82Q1
112831,acres82Q2
192189,acres82Q2
299321,acres82Q2
144904,acres82Q2
68373,acres82Q1
75409,acres82Q1
125133,acres82Q2
108777,acres82Q2
250128,acres82Q2
92487,acres82Q1
60294,acres82Q1
69310,acres82Q1
147154,acres82Q2
193859,acres82Q2
10919,acres82Q1
86074,acres82Q2
96829,acres82Q2
41352,acres82Q1
138061,acres82Q2
127161,acres82Q2
210275,acres82Q2
206090,acres82Q2
134811,acres82Q2
100468,acres82Q1
69711,acres82Q1
226206,acres82Q2
4854,acres82Q1
178217,acres82Q2
200455,acres82Q2
197826,acres82Q2
159966,acres82Q2
99066,acres82Q2
144828,acres82Q2
80692,acres82Q1
44709,acres82Q1
98545,acres82Q1
23062,acres82Q1
44188,acres82Q1
3224,acres82Q1
46321,acres82Q1
120959,acres82Q2
99527,acres82Q2
48509,acres82Q1
20803,acres82Q1
1501,acres82Q1
3383,acres82Q1
159710,acres82Q2
173892,acres82Q2
119218,acres82Q2
278675,acres82Q2
49509,acres82Q1
62766,acres82Q1
13887,acres82Q1
135179,acres82Q2
247266,acres82Q2
45133,acres82Q1
175541,acres82Q2
76141,acres82Q1
5256,acres82Q1
144254,acres82Q2
119533,acres82Q2
42642,acres82Q1
133173,acres82Q2
136869,acres82Q2
165917,acres82Q2
113383,acres82Q2
105068,acres82Q2
117868,acres82Q2
191002,acres82Q2
112409,acres82Q2
159794,acres82Q2
84434,acres82Q1
176828,acres82Q2
35712,acres82Q1
127403,acres82Q2
4469,acres82Q1
6158,acres82Q1
33155,acres82Q1
218145,acres82Q2
53022,acres82Q1
92782,acres82Q1
49712,acres82Q1
91365,acres82Q2
154082,acres82Q2
229838,acres82Q2
117768,acres82Q2
93887,acres82Q2
128719,acres82Q2
165015,acres82Q2
111866,acres82Q2
71324,acres82Q1
196701,acres82Q2
252817,acres82Q2
165391,acres82Q2
135850,acres82Q2
140432,acres82Q2
44548,acres82Q1
61145,acres82Q1
123655,acres82Q2
267511,acres82Q2
117599,acres82Q2
63446,acres82Q1
67928,acres82Q1
256118,acres82Q2
136534,acres82Q2
51401,acres82Q1
110637,acres82Q2
170353,acres82Q2
327511,acres82Q2
66380,acres82Q1
258035,acres82Q2
250607,acres82Q2
63674,acres82Q1
227698,acres82Q2
147826,acres82Q2
79150,acres82Q1
194044,acres82Q2
136812,acres82Q2
176952,acres82Q2
264321,acres82Q2
44490,acres82Q1
110173,acres82Q2
81401,acres82Q1
17086,acres82Q1
4127,acres82Q1
291526,acres82Q2
87574,acres82Q1
132678,acres82Q2
27469,acres82Q1
58730,acres82Q1
36059,acres82Q1
246536,acres82Q2
241731,acres82Q2
182605,acres82Q2
100,acres82Q1
74678,acres82Q1
46110,acres82Q1
193137,acres82Q2
210570,acres82Q2
97643,acres82Q2
247106,acres82Q2
57789,acres82Q1
6166,acres82Q1
23185,acres82Q1
50319,acres82Q1
42922,acres82Q1
17347,acres82Q1
283135,acres82Q2
70936,acres82Q1
81747,acres82Q1
40181,acres82Q1
126886,acres82Q2
245986,acres82Q2
44146,acres82Q1
61883,acres82Q1
316691,acres82Q2
51799,acres82Q1
116221,acres82Q2
58790,acres82Q1
38566,acres82Q1
126839,acres82Q2
86856,acres82Q2
23089,acres82Q1
5340,acres82Q1
60980,acres82Q1
34235,acres82Q1
5757,acres82Q1
25470,acres82Q1
74484,acres82Q1
37477,acres82Q1
53459,acres82Q1
31583,acres82Q1
9882,acres82Q1
72247,acres82Q1
114805,acres82Q2
37802,acres82Q1
43320,acres82Q1
83232,acres82Q2
37320,acres82Q1
126981,acres82Q2
157505,acres82Q2
80241,acres82Q1
59389,acres82Q1
123762,acres82Q2
222768,acres82Q2
110699,acres82Q2
97312,acres82Q2
44623,acres82Q1
131283,acres82Q2
82470,acres82Q2
54459,acres82Q1
165349,acres82Q2
77491,acres82Q2
55657,acres82Q1
109108,acres82Q2
123932,acres82Q2
91254,acres82Q2
107519,acres82Q2
62242,acres82Q1
334040,acres82Q3
53893,acres82Q1
38853,acres82Q1
50076,acres82Q1
95402,acres82Q2
27622,acres82Q1
24350,acres82Q1
63473,acres82Q1
118152,acres82Q2
35988,acres82Q1
18793,acres82Q1
106971,acres82Q2
71890,acres82Q1
94755,acres82Q1
61797,acres82Q1
42572,acres82Q1
16099,acres82Q1
246403,acres82Q2
77493,acres82Q1
51517,acres82Q1
82418,acres82Q1
14104,acres82Q1
165371,acres82Q2
181052,acres82Q2
19844,acres82Q1
166886,acres82Q2
227665,acres82Q2
244927,acres82Q2
186431,acres82Q2
41037,acres82Q1
40871,acres82Q1
92809,acres82Q2
64084,acres82Q1
256236,acres82Q2
1402,acres82Q1
72777,acres82Q1
28415,acres82Q1
233921,acres82Q2
40365,acres82Q1
137082,acres82Q2
61535,acres82Q1
5965,acres82Q1
66789,acres82Q1
277400,acres82Q2
231557,acres82Q2
29161,acres82Q1
438914,acres82Q3
193688,acres82Q2
254793,acres82Q2
47308,acres82Q1
29763,acres82Q1
199733,acres82Q2
210638,acres82Q2
154482,acres82Q2
16076,acres82Q1
190706,acres82Q2
264,acres82Q1
18047,acres82Q1
193956,acres82Q2
64973,acres82Q1
336273,acres82Q2
118764,acres82Q2
9391,acres82Q1
22178,acres82Q1
70306,acres82Q1
48029,acres82Q1
23290,acres82Q1
73437,acres82Q1
121153,acres82Q2
110014,acres82Q2
89173,acres82Q1
88322,acres82Q1
217095,acres82Q2
224030,acres82Q2
22056,acres82Q1
73661,acres82Q1
115338,acres82Q2
48236,acres82Q1
129083,acres82Q2
75345,acres82Q1
32980,acres82Q1
108726,acres82Q2
14081,acres82Q1
36272,acres82Q1
176305,acres82Q2
79921,acres82Q1
3786,acres82Q1
318125,acres82Q2
181569,acres82Q2
234823,acres82Q2
444407,acres82Q3
13908,acres82Q1
236799,acres82Q2
324111,acres82Q2
206781,acres82Q2
188958,acres82Q2
22488,acres82Q1
31427,acres82Q1
168073,acres82Q2
61832,acres82Q1
377693,acres82Q3
224923,acres82Q2
183760,acres82Q2
262207,acres82Q2
383373,acres82Q3
347420,acres82Q2
113422,acres82Q2
165961,acres82Q2
200199,acres82Q2
326804,acres82Q2
138594,acres82Q2
566981,acres82Q3
210897,acres82Q2
1249,acres82Q1
374920,acres82Q2
130683,acres82Q2
221193,acres82Q2
241148,acres82Q2
260125,acres82Q2
414710,acres82Q3
443496,acres82Q3
366534,acres82Q3
379603,acres82Q3
269147,acres82Q2
79183,acres82Q2
272049,acres82Q2
112412,acres82Q2
131563,acres82Q2
107810,acres82Q2
401039,acres82Q3
145545,acres82Q2
360500,acres82Q3
482991,acres82Q3
68778,acres82Q1
405029,acres82Q3
5262,acres82Q1
103665,acres82Q2
205031,acres82Q2
255453,acres82Q2
395023,acres82Q3
250507,acres82Q2
186573,acres82Q2
744710,acres82Q3
412660,acres82Q3
301111,acres82Q2
142432,acres82Q2
422916,acres82Q3
392615,acres82Q3
375628,acres82Q2
241930,acres82Q2
416570,acres82Q3
457670,acres82Q3
305831,acres82Q2
821073,acres82Q3
280089,acres82Q2
263274,acres82Q2
252658,acres82Q2
1042850,acres82Q4
310135,acres82Q2
2142,acres82Q1
183208,acres82Q2
491726,acres82Q3
600114,acres82Q3
227519,acres82Q2
270332,acres82Q2
536299,acres82Q3
153188,acres82Q2
131753,acres82Q2
117701,acres82Q2
311849,acres82Q2
643762,acres82Q3
231610,acres82Q2
286337,acres82Q2
389897,acres82Q3
395071,acres82Q3
310184,acres82Q2
245686,acres82Q2
171412,acres82Q2
237239,acres82Q2
100774,acres82Q2
249731,acres82Q2
420778,acres82Q3
290627,acres82Q2
272540,acres82Q2
407953,acres82Q3
267066,acres82Q2
227156,acres82Q2
304032,acres82Q2
377059,acres82Q3
292426,acres82Q2
311161,acres82Q2
430451,acres82Q3
239298,acres82Q2
197530,acres82Q2
271914,acres82Q2
181292,acres82Q2
255498,acres82Q2
232189,acres82Q2
339372,acres82Q2
163076,acres82Q2
252890,acres82Q2
377000,acres82Q3
54767,acres82Q1
325796,acres82Q2
187856,acres82Q2
403597,acres82Q3
211148,acres82Q2
244810,acres82Q2
130358,acres82Q2
207611,acres82Q2
187239,acres82Q2
298709,acres82Q2
201670,acres82Q2
252783,acres82Q2
